,state,division_name,polling_place_name,premises_suburb,latitude,longitude,geom
755,NSW,Eden-Monaro,Pambula,PAMBULA,-36.9264058,149.8720612,POINT (-36.9264058 149.8720612)
756,NSW,Eden-Monaro,Perisher Valley,PERISHER VALLEY,-36.3895,148.447,POINT (-36.3895 148.447)
757,NSW,Eden-Monaro,Quaama,QUAAMA,-36.4642,149.871,POINT (-36.4642 149.871)
758,NSW,Eden-Monaro,Queanbeyan,QUEANBEYAN,-35.3571625,149.2355025,POINT (-35.3571625 149.2355025)
759,NSW,Eden-Monaro,Queanbeyan Central,QUEANBEYAN,-35.353979,149.235256,POINT (-35.353979 149.235256)
760,NSW,Eden-Monaro,Queanbeyan East,QUEANBEYAN EAST,-35.3445,149.246,POINT (-35.3445 149.246)
761,NSW,Eden-Monaro,Queanbeyan Heights,CRESTWOOD,-35.3527,149.222,POINT (-35.3527 149.222)
762,NSW,Eden-Monaro,Queanbeyan North,QUEANBEYAN,-35.35234,149.23094,POINT (-35.35234 149.23094)
763,NSW,Eden-Monaro,Queanbeyan PPVC,QUEANBEYAN,-35.3526312,149.2342423,POINT (-35.3526312 149.2342423)
764,NSW,Eden-Monaro,Queanbeyan South,KARABAR,-35.3655795,149.229151,POINT (-35.3655795 149.229151)
765,NSW,Eden-Monaro,Queanbeyan West,CRESTWOOD,-35.3478,149.215,POINT (-35.3478 149.215)
766,NSW,Eden-Monaro,Rosewood,ROSEWOOD,-35.6705,147.862,POINT (-35.6705 147.862)
772,NSW,Eden-Monaro,Special Hospital Team 6,TUMUT,-35.3001774,148.214581,POINT (-35.3001774 148.214581)
773,NSW,Eden-Monaro,Sutton,SUTTON,-35.1648,149.254,POINT (-35.1648 149.254)
774,NSW,Eden-Monaro,Sydney (Eden-Monaro),SYDNEY,-33.8730501,151.2064528,POINT (-33.8730501 151.2064528)
775,NSW,Eden-Monaro,Talbingo,TALBINGO,-35.5803,148.301,POINT (-35.5803 148.301)
776,NSW,Eden-Monaro,Tanja,TANJA,-36.6408,149.975,POINT (-36.6408 149.975)
777,NSW,Eden-Monaro,Tathra,TATHRA,-36.7335957,149.9787608,POINT (-36.7335957 149.9787608)
778,NSW,Eden-Monaro,Thredbo,THREDBO VILLAGE,-36.5063,148.301,POINT (-36.5063 148.301)
779,NSW,Eden-Monaro,Tooma,TOOMA,-35.9648,148.058,POINT (-35.9648 148.058)
780,NSW,Eden-Monaro,Towamba,TOWAMBA,-37.0848,149.695,POINT (-37.0848 149.695)
781,NSW,Eden-Monaro,Tumbarumba,TUMBARUMBA,-35.7847,148.017,POINT (-35.7847 148.017)
782,NSW,Eden-Monaro,Tumut,TUMUT,-35.3069305,148.2109308,POINT (-35.3069305 148.2109308)
783,NSW,Eden-Monaro,Tumut East,TUMUT,-35.3126,148.219,POINT (-35.3126 148.219)
784,NSW,Eden-Monaro,Tumut PPVC,TUMUT,-35.3025921,148.2211508,POINT (-35.3025921 148.2211508)
785,NSW,Eden-Monaro,Tura Beach,TURA BEACH,-36.85,149.925,POINT (-36.85 149.925)
786,NSW,Eden-Monaro,Wamboin,WAMBOIN,-35.252,149.306,POINT (-35.252 149.306)
787,NSW,Eden-Monaro,Wee Jasper,WEE JASPER,-35.1106585,148.6732364,POINT (-35.1106585 148.6732364)
788,NSW,Eden-Monaro,Wolumla,WOLUMLA,-36.834,149.81,POINT (-36.834 149.81)
789,NSW,Eden-Monaro,Wyndham,WYNDHAM,-36.9292,149.646,POINT (-36.9292 149.646)
790,NSW,Eden-Monaro,Yass,YASS,-34.8426,148.912,POINT (-34.8426 148.912)
791,NSW,Eden-Monaro,Yass North,YASS,-34.8342,148.912,POINT (-34.8342 148.912)
792,NSW,Eden-Monaro,Yass PPVC,YASS,-34.8396998,148.9117192,POINT (-34.8396998 148.9117192)
793,NSW,Farrer,Albury,ALBURY,-36.0830081,146.9188145,POINT (-36.0830081 146.9188145)
794,NSW,Farrer,Albury Central,ALBURY,-36.0732767,146.9167639,POINT (-36.0732767 146.9167639)
795,NSW,Farrer,Albury East,EAST ALBURY,-36.0711246,146.9383558,POINT (-36.0711246 146.9383558)
796,NSW,Farrer,Albury FARRER PPVC,ALBURY,-36.0798003,146.9233189,POINT (-36.0798003 146.9233189)
797,NSW,Farrer,Albury North,NORTH ALBURY,-36.0641,146.932,POINT (-36.0641 146.932)
798,NSW,Farrer,Albury West,WEST ALBURY,-36.0783,146.895,POINT (-36.0783 146.895)
799,NSW,Farrer,Balranald,BALRANALD,-34.6361947,143.5635986,POINT (-34.6361947 143.5635986)
800,NSW,Farrer,Barellan,BARELLAN,-34.2878,146.572,POINT (-34.2878 146.572)
801,NSW,Farrer,Barham,BARHAM,-35.6301297,144.1272305,POINT (-35.6301297 144.1272305)
802,NSW,Farrer,Barooga,BAROOGA,-35.9129125,145.6952916,POINT (-35.9129125 145.6952916)
803,NSW,Farrer,Beelbangera,BEELBANGERA,-34.253,146.101,POINT (-34.253 146.101)
804,NSW,Farrer,Berrigan,BERRIGAN,-35.6594,145.815,POINT (-35.6594 145.815)
805,NSW,Farrer,Blighty,BLIGHTY,-35.5887,145.348,POINT (-35.5887 145.348)
806,NSW,Farrer,BLV Farrer PPVC,ALBURY,-36.0785986,146.9169595,POINT (-36.0785986 146.9169595)
807,NSW,Farrer,Bunnaloo,BUNNALOO,-35.7838,144.595,POINT (-35.7838 144.595)
808,NSW,Farrer,Buronga,BURONGA,-34.1723164,142.1997512,POINT (-34.1723164 142.1997512)
809,NSW,Farrer,Burrumbuttock,BURRUMBUTTOCK,-35.8378087,146.8000595,POINT (-35.8378087 146.8000595)
810,NSW,Farrer,Carrathool,CARRATHOOL,-34.4084,145.433,POINT (-34.4084 145.433)
811,NSW,Farrer,Coleambally,COLEAMBALLY,-34.8052,145.884,POINT (-34.8052 145.884)
812,NSW,Farrer,Corowa,COROWA,-35.9924764,146.3937684,POINT (-35.9924764 146.3937684)
813,NSW,Farrer,Corowa Central,COROWA,-35.99418,146.3809,POINT (-35.99418 146.3809)
814,NSW,Farrer,Corowa PPVC,COROWA,-35.9947946,146.3911984,POINT (-35.9947946 146.3911984)
815,NSW,Farrer,Corowa South,COROWA,-36.0212,146.376,POINT (-36.0212 146.376)
816,NSW,Farrer,Culcairn,CULCAIRN,-35.6679,147.04,POINT (-35.6679 147.04)
817,NSW,Farrer,Dareton,DARETON,-34.0915,142.041,POINT (-34.0915 142.041)
818,NSW,Farrer,Darlington Point,DARLINGTON POINT,-34.568451,145.998993,POINT (-34.568451 145.998993)
819,NSW,Farrer,Deniliquin,DENILIQUIN,-35.5359,144.961,POINT (-35.5359 144.961)
820,NSW,Farrer,Deniliquin North,DENILIQUIN,-35.5258,144.983,POINT (-35.5258 144.983)
821,NSW,Farrer,Deniliquin PPVC,DENILIQUIN,-35.5303518,144.9636747,POINT (-35.5303518 144.9636747)
822,NSW,Farrer,Deniliquin West,DENILIQUIN,-35.5246,144.952,POINT (-35.5246 144.952)
823,NSW,Farrer,Divisional Office (PREPOLL),ALBURY,-36.078464,146.917022,POINT (-36.078464 146.917022)
824,NSW,Farrer,Echuca FARRER PPVC,ECHUCA,-36.1278663,144.7482858,POINT (-36.1278663 144.7482858)
825,NSW,Farrer,Euston,EUSTON,-34.5754486,142.7454238,POINT (-34.5754486 142.7454238)
826,NSW,Farrer,Finley,FINLEY,-35.6402,145.573,POINT (-35.6402 145.573)
827,NSW,Farrer,Gerogery,GEROGERY,-35.8368001,146.9923219,POINT (-35.8368001 146.9923219)
828,NSW,Farrer,Glenroy,NORTH ALBURY,-36.0556,146.917,POINT (-36.0556 146.917)
829,NSW,Farrer,Goolgowi,GOOLGOWI,-33.9769,145.709,POINT (-33.9769 145.709)
830,NSW,Farrer,Griffith,GRIFFITH,-34.2864,146.041,POINT (-34.2864 146.041)
831,NSW,Farrer,Griffith Central PPVC,GRIFFITH,-34.2931498,146.0491823,POINT (-34.2931498 146.0491823)
832,NSW,Farrer,Griffith Driver,GRIFFITH,-34.282,146.07,POINT (-34.282 146.07)
833,NSW,Farrer,Griffith North,GRIFFITH,-34.2803,146.048,POINT (-34.2803 146.048)
834,NSW,Farrer,Griffith PPVC,GRIFFITH,-34.286557,146.0413659,POINT (-34.286557 146.0413659)
835,NSW,Farrer,Griffith West,GRIFFITH,-34.2916,146.041,POINT (-34.2916 146.041)
836,NSW,Farrer,Hanwood,HANWOOD,-34.33,146.042,POINT (-34.33 146.042)
837,NSW,Farrer,Hay,HAY,-34.5057208,144.8405964,POINT (-34.5057208 144.8405964)
838,NSW,Farrer,Henty,HENTY,-35.516552,147.031178,POINT (-35.516552 147.031178)
839,NSW,Farrer,Hillston,HILLSTON,-33.4798,145.54,POINT (-33.4798 145.54)
840,NSW,Farrer,Holbrook,HOLBROOK,-35.7174826,147.3198368,POINT (-35.7174826 147.3198368)
841,NSW,Farrer,Howlong,HOWLONG,-35.9806,146.636,POINT (-35.9806 146.636)
842,NSW,Farrer,Hume,LAVINGTON,-36.049829,146.9474613,POINT (-36.049829 146.9474613)
843,NSW,Farrer,Jerilderie,JERILDERIE,-35.3545973,145.7287906,POINT (-35.3545973 145.7287906)
844,NSW,Farrer,Jindera,JINDERA,-35.9588466,146.8867958,POINT (-35.9588466 146.8867958)
845,NSW,Farrer,Koraleigh,KORALEIGH,-35.1564,143.418,POINT (-35.1564 143.418)
846,NSW,Farrer,Lake Wyangan,LAKE WYANGAN,-34.2482,146.033,POINT (-34.2482 146.033)
847,NSW,Farrer,Lavington,LAVINGTON,-36.0291,146.936,POINT (-36.0291 146.936)
848,NSW,Farrer,Lavington East,LAVINGTON,-36.0400161,146.9478591,POINT (-36.0400161 146.9478591)
849,NSW,Farrer,Leeton,LEETON,-34.5536887,146.4042971,POINT (-34.5536887 146.4042971)
850,NSW,Farrer,Leeton North,LEETON,-34.54722,146.40608,POINT (-34.54722 146.40608)
851,NSW,Farrer,Leeton Parkview,LEETON,-34.5624,146.397,POINT (-34.5624 146.397)
852,NSW,Farrer,Leeton PPVC,LEETON,-34.5505531,146.406185,POINT (-34.5505531 146.406185)
853,NSW,Farrer,Leeton South,LEETON,-34.5632,146.413,POINT (-34.5632 146.413)
